1,2,3,4,5,9,10,11,12,13,17,18,19,20,25,26,27,28,29,30,33,34,35,36,37,38,41,42,43,44,45,46,47,49,50,51,52,53,54,55,57,58,59,60,61,62,63
0.575,0.515,0.5,0.5,0.56,0.755,0.53,0.51,0.5,0.94,0.725,0.495,0.5,0.85,0.515,0.545,0.5,0.91,0.985,0.895,0.815,0.93,0.5,0.5,0.5,0.53,0.83,0.985,0.89,0.5,0.5,0.645,0.555,0.495,0.5,0.655,0.5,0.5,0.5,0.605,0.515,0.5,0.5,0.615,0.5,0.52,0.545
